1,2,0.16,0.388
2,3,0.824,0.315
2,4,0.144,0.349
4,5,1.026,0.421
4,6,0.741,0.466
4,7,0.528,0.468
7,8,0.358,0.314
8,9,2.032,0.798
8,10,0.502,0.441
10,11,0.372,0.327
11,12,1.431,0.999
11,13,0.429,0.377
13,14,0.671,0.257
13,15,0.457,0.401
15,16,1.008,0.385
15,17,0.153,0.134
17,18,0.971,0.722
18,19,1.885,0.721
4,20,0.138,0.334
20,21,0.251,0.096
21,22,1.818,0.695
20,23,0.225,0.542
23,24,0.127,0.028
23,25,0.284,0.687
25,26,0.171,0.414
26,27,0.414,0.386
27,28,0.21,0.196
28,29,0.395,0.369
29,30,0.248,0.232
30,31,0.279,0.26
26,32,0.205,0.495
32,33,0.263,0.073
32,34,0.071,0.171
34,35,0.625,0.273
34,36,0.51,0.209
36,37,2.018,0.829
34,38,1.062,0.406
38,39,0.61,0.238
39,40,2.349,0.964
34,41,0.115,0.278
41,42,0.159,0.384
42,43,0.934,0.383
42,44,0.506,0.163
42,45,0.095,0.195
42,46,1.915,0.769
41,47,0.157,0.379
47,48,1.641,0.67
47,49,0.081,0.196
49,50,1.727,0.709
49,51,0.112,0.27
51,52,0.674,0.275
51,53,0.07,0.17
53,54,2.041,0.78
53,55,0.813,0.334
53,56,0.141,0.34
